lineups,team,gp,offrtg,defrtg,netrtg,ast_percent,ast_to,ast_ratio,oreb_percent,dreb_percent,reb_percent,to_ratio,efg_percent,ts_percent,pace,pie,lineup_index,t_harris,t_burke,n_pelle,j_richardson,f_korkmaz,m_thybulle,b_simmons,j_ennis_iii,j_embiid,r_neto,z_smith,s_milton,g_robinson_iii,m_scott,k_o_quinn,j_bolden,m_shayok,a_horford,a_burks
".T. Harris, .M. Scott, .K. O'Quinn, .J. Richardson, .B. Simmons",PHI,1,0,100,-100,0,0,0,0,50,33.3,0.5,0,0,144,-100,432,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .K. O'Quinn, .F. Korkmaz, .S. Milton",PHI,1,100,0,100,0,0,0,0,100,50,0,0,43.1,93.91,0,431,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .K. O'Quinn, .B. Simmons, .S. Milton",PHI,1,300,50,250,100,0,50,0,100,100,0,150,150,98.18,133.3,430,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .R. Neto, .N. Pelle",PHI,1,125,80,45,50,0,14.3,50,100,60,0,41.7,41.7,84.16,40,427,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .R. Neto, .N. Pelle",PHI,1,125,80,45,50,0,14.3,50,100,60,0,41.7,41.7,84.16,40,427,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .R. Neto, .N. Pelle",PHI,1,125,80,45,50,0,14.3,50,100,60,0,41.7,41.7,84.16,40,427,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .R. Neto, .J. Richardson",PHI,1,100,100,0,100,0,25,50,0,50,0,33.3,33.3,96,20,426,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .J. Embiid, .B. Simmons",PHI,2,109.1,90.9,18.2,100,1,21.4,0,80,50,0.3,66.7,77.3,113.71,54.5,425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .J. Embiid, .B. Simmons",PHI,2,109.1,90.9,18.2,100,1,21.4,0,80,50,0.3,66.7,77.3,113.71,54.5,425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
".T. Harris, .M. Scott, .J. Ennis III, .J. Embiid, .B. Simmons",PHI,2,109.1,90.9,18.2,100,1,21.4,0,80,50,0.3,66.7,77.3,113.71,54.5,425,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
